"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"withr","withr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1.2",NA,"R (>= 3.0.2)","stats, graphics, grDevices",NA,"testthat, covr, lattice, DBI, RSQLite, methods, knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"x13binary","x13binary","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.39-2",NA,NA,NA,NA,NA,NA,"file LICENSE",NA,"no",NA,NA,"no","3.5.3"
"xfun","xfun","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8",NA,NA,"stats, tools",NA,"testit, parallel, rstudioapi, tinytex, mime, markdown, knitr,
htmltools, base64enc, remotes, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"xkcd","xkcd","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.0.6",NA,"ggplot2 (>= 3.0), extrafont","Hmisc, stats",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"xlsx","xlsx","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6.1",NA,NA,"rJava, xlsxjars, grDevices, utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"xlsxjars","xlsxjars","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6.1",NA,"rJava",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"XML","XML","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.98-1.20",NA,"R (>= 2.13.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"xml2","xml2","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.0",NA,"R (>= 3.1.0)","Rcpp","Rcpp (>= 0.12.12)","testthat, curl, covr, knitr, rmarkdown, magrittr, httr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"xopen","xopen","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"xtable","xtable","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"xts","xts","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.11-2",NA,"zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, fts, tis, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"yaml","yaml","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.2.0",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"yesno","yesno","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.0",NA,"R (>= 3.1.0)","utils",NA,"testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"zeallot","zeallot","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.0",NA,NA,NA,NA,"testthat, knitr, rmarkdown, purrr, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"zoo","zoo","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.8-6",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"coda, chron, DAAG, fts, ggplot2, mondate, scales,
strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"base","base","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,NA,NA,"methods",NA,"Part of R 3.5.3",NA,NA,NA,NA,NA,"3.5.3"
"boot","boot","C:/Program Files/R/R-3.5.3/library","1.3-20","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","3.5.3"
"class","class","C:/Program Files/R/R-3.5.3/library","7.3-15","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"cluster","cluster","C:/Program Files/R/R-3.5.3/library","2.0.7-1","recommended","R (>= 3.2.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"codetools","codetools","C:/Program Files/R/R-3.5.3/library","0.2-16","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.5.3"
"compiler","compiler","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,NA,NA,NA,NA,"Part of R 3.5.3",NA,NA,NA,NA,NA,"3.5.3"
"datasets","datasets","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,NA,NA,NA,NA,"Part of R 3.5.3",NA,NA,NA,NA,NA,"3.5.3"
"foreign","foreign","C:/Program Files/R/R-3.5.3/library","0.8-71","recommended","R (>= 3.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"graphics","graphics","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,"grDevices",NA,NA,NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"grDevices","grDevices","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,NA,NA,"KernSmooth",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"grid","grid","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,"grDevices, utils",NA,"lattice",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"KernSmooth","KernSmooth","C:/Program Files/R/R-3.5.3/library","2.23-15","recommended","R (>= 2.5.0), stats",NA,NA,"MASS",NA,"Unlimited",NA,NA,NA,NA,"yes","3.5.3"
"lattice","lattice","C:/Program Files/R/R-3.5.3/library","0.20-38","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"MASS","MASS","C:/Program Files/R/R-3.5.3/library","7.3-51.1","recommended","R (>= 3.1.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"Matrix","Matrix","C:/Program Files/R/R-3.5.3/library","1.2-15","recommended","R (>= 3.2.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","3.5.3"
"methods","methods","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"mgcv","mgcv","C:/Program Files/R/R-3.5.3/library","1.8-27","recommended","R (>= 2.14.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"nlme","nlme","C:/Program Files/R/R-3.5.3/library","3.1-137","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","3.5.3"
"nnet","nnet","C:/Program Files/R/R-3.5.3/library","7.3-12","recommended","R (>= 2.14.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"parallel","parallel","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"rpart","rpart","C:/Program Files/R/R-3.5.3/library","4.1-13","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"spatial","spatial","C:/Program Files/R/R-3.5.3/library","7.3-11","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"splines","splines","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"stats","stats","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"stats4","stats4","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 3.5.3",NA,NA,NA,NA,NA,"3.5.3"
"survival","survival","C:/Program Files/R/R-3.5.3/library","2.43-3","recommended","R (>= 2.13.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"tcltk","tcltk","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,"utils",NA,NA,NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"tools","tools","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,NA,NA,"codetools, methods, xml2, curl",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"translations","translations","C:/Program Files/R/R-3.5.3/library","3.5.3",NA,NA,NA,NA,NA,NA,"Part of R 3.5.3",NA,NA,NA,NA,NA,"3.5.3"
"utils","utils","C:/Program Files/R/R-3.5.3/library","3.5.3","base",NA,NA,NA,"methods, xml2, commonmark",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
